index,speaker,text,file
9,g,have you got a carpenter's house ,q3ec8
10,f,yeah right ,q3ec8
11,f,i know where you are ,q3ec8
12,g,parallel with the bottom of the the carpenter's house ,q3ec8
13,f,right ,q3ec8
14,g,okay right could you move across so that you you go ,q3ec8
15,f,to the bottom of the carpenter's house ,q3ec8
16,g,right yeah ,q3ec8
17,g,just not ,q3ec8
18,f,just to the end of it ,q3ec8
19,g,so you can move up again ,q3ec8
20,g,just to the end of it it's just to avoid the haystack you see what i mean ,q3ec8
21,f,right ,q3ec8
22,g,right ,q3ec8
23,g,could you move sort of a up sort of a wee bit diagonally to your to your right just a wee bit diagonally ,q3ec8
24,f,i mean how far the ,q3ec8
25,g,to the the ,q3ec8
26,g,you have you got the green bay at the top ,q3ec8
27,f,no ,q3ec8
28,g,right ,q3ec8
29,g,could you move up to about eh the top of the carpenter's house you know the middle of the top about two inches above ,q3ec8
30,f,to about the level of the the top of the haystack ,q3ec8
31,g,to the level of the bottom of the haystack ,q3ec8
32,f,right ,q3ec8
33,g,okay ,q3ec8
34,g,right ,q3ec8
35,g,could you eh move to your right about eh three inches ,q3ec8
36,f,past the seven beeches ,q3ec8
37,g,no ,q3ec8
38,g,to just before the seven beeches ,q3ec8
39,g,and diagonally down a wee bit ,q3ec8
40,f,ah three inches ,q3ec8
41,g,four inches then ,q3ec8
42,f,that's about an inch or two ,q3ec8
43,g,okay then ,q3ec8
44,f,right ,q3ec8
45,g,well t-- before the seven beeches anyway ,q3ec8
46,f,right ,q3ec8
47,f,i've sort of come down a tiny bit ,q3ec8
48,g,right okay ,q3ec8
49,g,eh could you move down from that point to ,q3ec8
50,g,have you got a chapel ,q3ec8
51,g,no you haven't ,q3ec8
52,g,it's below the seven beeches ,q3ec8
53,g,could you move down to the eh bottom left-- ,q3ec8
54,f,oh at the top of reclaimed fields ,q3ec8
55,g,no ,q3ec8
56,g,right just do eh could you move to the bottom just the corner of seven beeches the bottom left-hand corner of seven beeches ,q3ec8
57,f,right ,q3ec8
58,g,okay ,q3ec8
59,g,could you then move across to your eh right about two inches ,q3ec8
60,f,past seven beeches ,q3ec8
61,g,just past seven beeches and no more ,q3ec8
62,g,right ,q3ec8
63,f,right ,q3ec8
64,g,could you move down about three inches to the eh top of reclaimed fields ,q3ec8
65,f,mmhmm right ,q3ec8
66,g,right eh ,q3ec8
67,g,could you just go move round to your right round reclaimed fields just round the reclaimed fields ,q3ec8
68,f,right ,q3ec8
69,f,and down ,q3ec8
70,g,and down you know just round it as in what a sort of eh ,q3ec8
71,f,right ,q3ec8
72,f,so under reclaimed fields ,q3ec8
73,g,circle round it ,q3ec8
74,g,you're under reclaimed fields now ,q3ec8
75,g,eh could you move u-- could you continue that line just a wee bit to the bottom left-hand corner of reclaimed fields ,q3ec8
76,f,right ,q3ec8
77,f,yeah ,q3ec8
78,f,i have ,q3ec8
79,g,right okay ,q3ec8
80,g,have you got crane bay on your thing ,q3ec8
81,f,you're right yeah uh-huh yeah i have ,q3ec8
82,g,right ,q3ec8
83,g,could you move down there to the the wee bump comes out in the middle of the bay and just like follow th-- follow that bump round ,q3ec8
84,f,bumps everywhere ,q3ec8
85,f,alright ,q3ec8
86,g,that's it ,q3ec8
87,f,just move just grab onto the line ,q3ec8
88,g,uh-huh just like follow the line of the bay round until about ,q3ec8
89,g,eh have you got a vast meadow there ,q3ec8
90,g,attractive cliffs ,q3ec8
91,f,i've got attractive cliffs ,q3ec8
92,f,they're really quite nice ,q3ec8
93,g,right ,q3ec8
94,g,right ,q3ec8
95,g,could you well mm-- follow the line of the bay round 'til eh you reach the top of the attractive cliffs and stop about just at the top of the attractive cliffs ,q3ec8
96,f,okay ,q3ec8
97,f,right ,q3ec8
98,f,i'm still on the crane bay line ,q3ec8
99,g,mmhmm just follow the line of the bay ,q3ec8
100,g,and you'll move off towards the attractive cliffs ,q3ec8
101,f,mmhmm ,q3ec8
102,f,do i mean do i have to draw off the line of the bay ,q3ec8
103,g,yeah ,q3ec8
104,g,i mean like you'll have to to g-- go away from the ,q3ec8
105,f,above the line of the a-- a-- above attractive cliffs ,q3ec8
106,g,right above attractive cliffs yes ,q3ec8
107,f,t-- right to the edge of them i am ,q3ec8
108,g,right ,q3ec8
109,g,ehm ,q3ec8
110,g,from there just just move out past them to your left and then move down to about the eh move down past the left-hand of the attractive cliffs to about the corner the bottom left corner ,q3ec8
111,g,right that okay ,q3ec8
112,g,right could you eh then move to the edge of the paper on your left about another that'll be about another two inches i would've said ,q3ec8
113,f,right to the edge ,q3ec8
114,f,i mean it'll have to be completely to the edge because of the crashed spaceship ,q3ec8
115,g,right there's a crashed spaceship there ,q3ec8
116,g,right i thought you were w-- right move right to the edge and i'll try and avoid that crashed spaceship ,q3ec8
117,f,okay i'll do my best ,q3ec8
118,g,right could you then move down about another three inches ,q3ec8
119,f,to the bottom of the page or just past the chestnut tree ,q3ec8
120,g,not to the bottom of the page ,q3ec8
121,g,to about bottom parallel with the chestnut just avoid ,q3ec8
122,g,right okay ,q3ec8
123,f,okay ,q3ec8
124,g,just move round the crashed spaceship so that you f-- you reach the finish ,q3ec8
125,g,which should be left just left of the the chestnut tree ,q3ec8
126,f,left of the bottom or left of the top of the chestnut tree ,q3ec8
127,g,eh left of the middle of the chestnut tree ,q3ec8
128,g,so you're sort of coming round in a a sort of you're doubling back ,q3ec8
129,f,a circle round the crashed spaceship ,q3ec8
130,g,yeah ,q3ec8
131,g,you're doubling back a wee bit ,q3ec8
132,f,right ,q3ec8
133,g,okay and that's the finish ,q3ec8
134,f,right ,q3ec8
0,g,start at the extinct volcano ,q4ec1
1,g,go down around the tribal settlement and then ,q4ec1
2,f,whereabouts is the tribal settlement ,q4ec1
3,g,it's at the bottom it's to the left of the e-- extinct volcano ,q4ec1
4,f,right ,q4ec1
5,f,how far ,q4ec1
6,g,ehm at the opposite side ,q4ec1
7,f,to the opposite side ,q4ec1
8,f,is it underneath the rope bridge or to the left ,q4ec1
9,g,it's underneath the rope bridge ,q4ec1
10,g,and then from the tribal settlement go straight up towards the rope bridge and over the rope bridge then down three steps and along to above the volcano ,q4ec1
11,f,eh d-- is down three steps below or above the machete ,q4ec1
12,g,ah the machete's not on my map ,q4ec1
13,f,oh ,q4ec1
14,g,down three lines ,q4ec1
15,f,right ,q4ec1
16,g,and then along as far as the volcano but above it and stop underneath the collapsed shelter but away from it a bit ,q4ec1
17,f,right ,q4ec1
18,g,and go up to about the middle of the map ,q4ec1
19,f,the middle of the map ,q4ec1
20,g,and stop ,q4ec1
21,f,just slightly above the crevasse ,q4ec1
22,g,that's not on my map either ,q4ec1
23,g,ehm go to your left again into about the middle ,q4ec1
24,f,i think that would bring me over the crevasse ,q4ec1
25,g,well it's not on my map ,q4ec1
26,f,no oh ,q4ec1
27,g,well go a quarter of the way along the page and down again ,q4ec1
28,f,that'll take me right into it ,q4ec1
29,g,well ,q4ec1
30,g,go right along instead then ,q4ec1
31,f,along to the left ,q4ec1
32,g,is the saxon barn on your map ,q4ec1
33,f,yes ,q4ec1
34,g,well go along to the saxon barn ,q4ec1
35,g,and down past the pelicans ,q4ec1
36,f,not marked on my map ,q4ec1
37,g,ehm go down from the saxon barn ehm to ,q4ec1
38,f,to the left or right of it ,q4ec1
39,g,straight down to the left ,q4ec1
40,f,left of it right ,q4ec1
41,g,and just above the rope bridge and then along to your left again ,q4ec1
42,f,okay ,q4ec1
43,g,and from there go straight up to the top of the map to the golden beach at the l-- top left-hand corner passing the white mountain ,q4ec1
44,f,but golden beach is in the top right-hand corner ,q4ec1
45,g,left-hand corner sorry ,q4ec1
46,f,but there's a ,q4ec1
47,g,oh there's two golden beaches on this map as well ,q4ec1
48,f,it's above the white mountain ,q4ec1
49,g,mmhmm ,q4ec1
50,g,and then stop ,q4ec1
51,g,then turn to your right ,q4ec1
52,g,and go along to the middle of the map ,q4ec1
53,f,right ,q4ec1
54,f,b-- eh underneath slate mountain ,q4ec1
55,g,no ,q4ec1
56,g,just to the e-- the end of slate mountain ,q4ec1
57,f,right ,q4ec1
58,g,then go over slate mountain ,q4ec1
59,f,right ,q4ec1
60,g,and turn to your left into the middle of the map that'd be your right i suppose ,q4ec1
61,f,to my right now very close to the right of the page ,q4ec1
62,g,no ,q4ec1
63,g,left then ,q4ec1
64,f,then whereabouts ,q4ec1
65,g,into the middle ,q4ec1
66,g,then stop and go straight down at the side of the secret valley ,q4ec1
67,f,left or right side ,q4ec1
68,g,left ,q4ec1
69,f,the left side right okay ,q4ec1
70,g,and go along underneath the secret valley and finish ,q4ec1
71,f,right ,q4ec1
0,g,right ehm ,q5nc2
1,g,starting above the stony desert ,q5nc2
2,g,ehm move downwards to the right to the sorry to the left move downwards to the left ,q5nc2
3,f,straight down ,q5nc2
4,g,no ,q5nc2
5,g,sort of starting about halfway up the stony above eh the middle of the stony desert just above it ,q5nc2
6,f,right ,q5nc2
7,g,moving slightly forwards and down to the right to the left ,q5nc2
8,f,slightly forward and then to the left ,q5nc2
9,g,yes ,q5nc2
10,g,and downwards ,q5nc2
11,g,'til you come to about level the bottom of the stony desert ,q5nc2
12,f,right ,q5nc2
13,f,straight down ,q5nc2
14,g,yeah ,q5nc2
15,f,and then to the left ,q5nc2
16,g,well ,q5nc2
17,g,sort of yeah uh-huh ,q5nc2
18,g,downwards to the left ,q5nc2
19,f,right ,q5nc2
20,g,then keep progressing along to the left ,q5nc2
21,f,mmhmm ,q5nc2
22,g,about four inches ,q5nc2
23,f,four inches ,q5nc2
24,g,yeah ,q5nc2
25,f,ehm is it straight down from the waterhole where you want me to go ,q5nc2
26,g,ehm ,q5nc2
27,g,ehm it doesn't actually say here ,q5nc2
28,f,so right you want me to go four inches along then right ,q5nc2
29,g,yeah uh-huh ,q5nc2
30,f,okay ,q5nc2
31,g,ehm ,q5nc2
32,g,and round the next obstacle ,q5nc2
33,g,it's a plane crash ,q5nc2
34,f,mm ,q5nc2
35,g,up up sort of straight up ,q5nc2
36,f,straight up ,q5nc2
37,g,yeah ,q5nc2
38,f,right ,q5nc2
39,g,for about three inches ,q5nc2
40,f,okay ,q5nc2
41,g,then ,q5nc2
42,g,turn to the right ,q5nc2
43,f,mmhmm ,q5nc2
44,f,how far ,q5nc2
45,g,a-- to about the middle of the page just r-- round the next obstacle ,q5nc2
46,f,round it ,q5nc2
47,g,yes round the top of it ,q5nc2
48,f,round the top okay ,q5nc2
49,g,to about the middle of the page ,q5nc2
50,f,mm wait a minute ,q5nc2
51,f,if i'm going to go round it i'll not but i won't get to the top of the page the middle of the page ,q5nc2
52,g,oh ehm ,q5nc2
53,f,i'll go round it right ,q5nc2
54,g,just just go round it ,q5nc2
55,f,okay ,q5nc2
56,f,halfway round ,q5nc2
57,g,yeah ,q5nc2
58,f,or all the way ,q5nc2
59,g,don't no don't go all the way round it ,q5nc2
60,f,ha-- ,q5nc2
61,f,halfway right halfway round ,q5nc2
62,g,go ,q5nc2
63,g,go along the top and then at the other side ehm go downwards but still sloping for about an inch downwards but still sloping slightly to the left ,q5nc2
64,f,and and sloping to the left ,q5nc2
65,g,well ,q5nc2
66,g,just as if you were going d-- if you as if you were walking down a hill ,q5nc2
67,f,right okay right right that's it ,q5nc2
68,g,mmhmm ,q5nc2
69,g,and then ehm still heading in the le-- towards the left ,q5nc2
70,f,mmhmm ,q5nc2
71,g,but a very very slight slope upwards for about three inches but just a small one ,q5nc2
72,f,i'm going to end up tracing my path back if i do go to the left ,q5nc2
73,g,well ,q5nc2
74,g,don't go ,q5nc2
75,g,have you g-- d-- how far down have you gone ,q5nc2
76,g,don't go too far down ,q5nc2
77,f,right ,q5nc2
78,f,i'm not even halfway up ,q5nc2
79,g,uh-huh no i know ,q5nc2
80,f,right ,q5nc2
81,g,that's okay ,q5nc2
82,f,i'm sort of stuck in between a waterhole and a savannah ,q5nc2
83,g,uh-huh ,q5nc2
84,g,well ,q5nc2
85,g,don't don't go as far along as the savannah ,q5nc2
86,g,just before you get to the front of the s-- in-- just before you get to the savannah slope upwards ,q5nc2
87,f,slope up straight line up ,q5nc2
88,g,yeah ,q5nc2
89,g,almost a straight line just about four inches to the mountain ,q5nc2
90,f,to the mountain ,q5nc2
91,g,up to the top of the mountain ,q5nc2
92,f,right okay ,q5nc2
93,g,yeah ,q5nc2
94,g,stop the line at opposite the top of the mountain ,q5nc2
95,f,opposite the top of the mountain ,q5nc2
96,g,yeah just at the top ,q5nc2
97,f,just at right okay ,q5nc2
98,f,it's sort of parallel to the white mountain as well ,q5nc2
99,g,it's at it's the slate mountain ,q5nc2
100,g,yeah just ,q5nc2
101,f,uh-huh uh-huh right okay ,q5nc2
102,g,sort of go up ,q5nc2
103,g,yeah ,q5nc2
104,f,right i'm there ,q5nc2
105,g,and once you get to the top of the mountain turn to the left again ,q5nc2
106,f,left ,q5nc2
107,f,just round the sort of round rocks ,q5nc2
108,g,ehm b-- between the the hot wells and the mountain to the left and down between the two ,q5nc2
109,f,mm it's hot springs i've got here and then white mountain ,q5nc2
110,g,well yeah ,q5nc2
111,g,uh-huh ,q5nc2
112,f,right ,q5nc2
113,f,so i'm at the top of the white mountain just up ,q5nc2
114,g,not the white mountain ,q5nc2
115,g,the slate mountain ,q5nc2
116,f,well ,q5nc2
117,f,put it this way i'm at the left of some mou-- i'm now opposite some mountain ,q5nc2
118,f,right ,q5nc2
119,g,right okay ehm ,q5nc2
120,g,right okay ehm ,q5nc2
121,g,so where are you at the moment if you if you ,q5nc2
122,f,opposite a white mountain the top of the white mountain ,q5nc2
123,g,okay ,q5nc2
124,f,right ,q5nc2
125,g,right okay ,q5nc2
126,g,ehm under are you g-- g-- down the side of the mountain 'til you're underneath the hot wells ,q5nc2
127,f,okay ,q5nc2
128,f,ins-- un-- well ,q5nc2
129,f,i don't have hot wells i have hot springs ,q5nc2
130,f,right i'm coming down the mountain right ,q5nc2
131,g,okay ,q5nc2
132,f,so where do you want me to go when i come down this mountain ,q5nc2
133,g,ehm ,q5nc2
134,g,go down to the right of the hot wells the hot springs ,q5nc2
135,f,to the right of it ,q5nc2
136,f,right ,q5nc2
137,g,and underneath it and underneath it ,q5nc2
138,f,i've actually ,q5nc2
139,f,and underneath it right i've done that ,q5nc2
140,g,right you underneath it now ,q5nc2
141,f,yes ,q5nc2
142,g,right okay ehm ,q5nc2
143,g,heading towards the left go down about an inch t-- a slope ,q5nc2
144,f,heading towards the left ,q5nc2
145,g,mmhmm ,q5nc2
146,f,you want me to have is it a diagonal slope ,q5nc2
147,g,ehm yeah almost ,q5nc2
148,f,right ,q5nc2
149,f,an inch just an inch ,q5nc2
150,g,yeah mmhmm ,q5nc2
151,f,right okay ,q5nc2
152,g,and then ehm ,q5nc2
153,g,curve the bottom and start heading up towards the white mountain ,q5nc2
154,f,right okay right ,q5nc2
155,g,ehm head fairly close to the side of the white mountain ,q5nc2
156,f,mmhmm ,q5nc2
157,g,just keep going up 'til you get to the top of the white mountain ,q5nc2
158,f,right okay ,q5nc2
159,f,i'm at the top ,q5nc2
160,g,right ,q5nc2
161,g,when you're at the top go straight up for two and a half inches absolutely straight ,q5nc2
162,f,right okay ,q5nc2
163,g,and then ,q5nc2
164,g,start heading towards the lake ,q5nc2
165,f,for how far along ,q5nc2
166,g,ehm about three inches ,q5nc2
167,f,okay ,q5nc2
168,g,towards it ,q5nc2
169,g,are y-- are you at it now ,q5nc2
170,f,i'm at the lake ,q5nc2
171,g,right ,q5nc2
172,g,go round the outside of the lake ah ,q5nc2
173,f,which way up or down ,q5nc2
174,g,go up ,q5nc2
175,f,okay ,q5nc2
176,g,and round it ,q5nc2
177,g,in an a clockwise direction and but don't go right round it go ,q5nc2
178,f,mmhmm ,q5nc2
179,f,halfway round ,q5nc2
180,g,yeah ,q5nc2
181,f,right ,q5nc2
182,g,when you get to the go between the lake and the roman baths ,q5nc2
183,f,there is no roman baths ,q5nc2
184,g,ah ,q5nc2
185,g,ehm well ,q5nc2
186,g,go round as if you were heading back to where you started going round the lake ,q5nc2
187,f,right ,q5nc2
188,f,i'm halfway round the lake ,q5nc2
189,g,right ,q5nc2
190,g,well ,q5nc2
191,g,go down to the bottom half of the lake but ehm start straightening out as if you were going back to where you started but le-- leave about an inch between the path where you went round the lake and the path where you're coming out of it ,q5nc2
192,f,you want me to trace back my steps ,q5nc2
193,g,no ,q5nc2
194,g,you've gone halfway round the lake ,q5nc2
195,f,right ,q5nc2
196,g,right ,q5nc2
197,g,go down the sort of slightly flat side the the side that's about an inch of the lake f-- just follow that down ,q5nc2
198,f,i don't have a flat side ,q5nc2
199,g,oh dear ,q5nc2
200,g,right okay ,q5nc2
201,f,right ,q5nc2
202,f,i'm at the bottom of the lake ,q5nc2
203,g,you're at the bottom ,q5nc2
204,f,okay ,q5nc2
205,f,right ,q5nc2
206,f,well i'm ,q5nc2
207,g,right ,q5nc2
208,g,keep progressing in that kind of line for about another inch and a half ,q5nc2
209,f,towards the left ,q5nc2
210,g,yes ,q5nc2
211,f,right okay ,q5nc2
212,f,right ,q5nc2
213,g,now ,q5nc2
214,g,when you've done that you should be ehm about equal with where you started going round the lake but about an inch and a half down from there ,q5nc2
215,f,yeah ,q5nc2
216,g,right ,q5nc2
217,g,so then head downwards about three and a half inches to the a-- where the antelopes are ,q5nc2
218,f,yeah ,q5nc2
219,g,ehm ,q5nc2
220,g,and go underneath them ,q5nc2
221,f,underneath them ,q5nc2
222,g,yeah ,q5nc2
223,g,ehm go go down 'til you're past them and then turn to the right ,q5nc2
224,f,to the right okay ,q5nc2
225,f,how far along to the right do you want me to go ,q5nc2
226,g,about two inches ,q5nc2
227,f,okay ,q5nc2
228,g,and that's the finish ,q5nc2
229,f,okay ,q5nc2
0,g,ehm it starts off as a cross at the top of the map ,q6ec4
1,f,right ,q6ec4
2,g,ehm if you go if you start off on the left of the cross ,q6ec4
3,f,right ,q6ec4
4,g,and is there a diamond mine just below that ,q6ec4
5,f,yeah ,q6ec4
6,g,yeah ,q6ec4
7,g,if you go down to the left of that 'til you're below it ,q6ec4
8,f,right ,q6ec4
9,g,and then um ,q6ec4
10,g,to the right of the diamond mine there's ,q6ec4
11,f,go along the bottom of the diamond mine ,q6ec4
12,g,yeah ,q6ec4
13,g,there's a wagon wheel sort of on the right ,q6ec4
14,g,have you got that ,q6ec4
15,f,nope ,q6ec4
16,g,oh well ,q6ec4
17,g,if you go along um to th-- like right under the diamond mine ,q6ec4
18,g,and then um ,q6ec4
19,g,you've got to go a little more than halfway along the page ,q6ec4
20,f,right keep going right ,q6ec4
21,g,yeah ,q6ec4
22,g,keep going right 'til you're just past halfway ,q6ec4
23,f,right ,q6ec4
24,g,um ,q6ec4
25,g,in fact even three quarters of the way ,q6ec4
26,g,and then ,q6ec4
27,g,you go right up to the top again ,q6ec4
28,f,right up to the top ,q6ec4
29,g,yeah ,q6ec4
30,f,how far up ,q6ec4
31,g,just before you go off the edge ,q6ec4
32,f,right ,q6ec4
33,g,um and then ,q6ec4
34,g,have you got a rift valley ,q6ec4
35,f,yeah ,q6ec4
36,g,right ,q6ec4
37,g,if you go um a top er right so that you're um above the rift valley sort of in the middle of it ,q6ec4
38,f,right ,q6ec4
39,g,uh but don't go r-- when you're halfway along it sort of go down and through the bottom of it ,q6ec4
40,f,right ,q6ec4
41,g,um ,q6ec4
42,g,below the rift valley have you got any rocks ,q6ec4
43,f,mmhmm ,q6ec4
44,g,um ,q6ec4
45,f,quite far below ,q6ec4
46,g,yeah ,q6ec4
47,f,yeah ,q6ec4
48,g,go down 'til you're just above the rocks ,q6ec4
49,f,right ,q6ec4
50,g,and then go down to the right-hand side of them ,q6ec4
51,f,go round them to the right ,q6ec4
52,g,yeah ,q6ec4
53,g,oh sorry the left ,q6ec4
54,g,no ,q6ec4
55,f,on the left ,q6ec4
56,g,helps if you know the difference ,q6ec4
57,f,right ,q6ec4
58,g,um to the left of the rocks there's a stone creek ,q6ec4
59,f,no i don't have that ,q6ec4
60,g,haven't not got that right ,q6ec4
61,g,um have you got any white water ,q6ec4
62,f,nope ,q6ec4
63,g,no ,q6ec4
64,g,have you got anything in the middle of the page ,q6ec4
65,f,rapids ,q6ec4
66,g,rapids oh ,q6ec4
