corpus,file,dyad,index,speaker,start,stop,text,theme,theme_role,theme_index,has_theme
cheese,Cheese-AA_OR,AAOR,14,OR,36.74,37.22492,lui sourit,Lecture frog joke OR,g,12.0,True
cheese,Cheese-AA_OR,AAOR,15,OR,37.58,38.48991,et la remit dans sa poche,Lecture frog joke OR,g,13.0,True
cheese,Cheese-AA_OR,AAOR,16,OR,39.26,39.67993,enfin,Lecture frog joke OR,g,14.0,True
cheese,Cheese-AA_OR,AAOR,17,OR,39.92,40.84995,la grenouille demanda,Lecture frog joke OR,g,15.0,True
cheese,Cheese-AA_OR,AAOR,18,OR,41.36,41.81494,qu'est-ce qu'il y a,Lecture frog joke OR,g,16.0,True
cheese,Cheese-AA_OR,AAOR,19,OR,42.58,47.13494,je t'ai dit que j'étais une belle princesse que je resterai avec toi une semaine et que je ferai tout ce que tu veux pourquoi tu m'embrasses pas,Lecture frog joke OR,g,17.0,True
cheese,Cheese-AA_OR,AAOR,20,OR,48.52,49.16056,ne m'embrases tu pas,Lecture frog joke OR,g,18.0,True
cheese,Cheese-AA_OR,AAOR,21,OR,49.64,50.64995,l'ingénieur répondit,Lecture frog joke OR,g,19.0,True
cheese,Cheese-AA_OR,AAOR,22,OR,50.96,51.28492,écoute,Lecture frog joke OR,g,20.0,True
cheese,Cheese-AA_OR,AAOR,23,OR,51.54,55.58492,je suis un ingénieur je n'ai pas le temps pour une petite copine mais une grenouile qui parle ça c'est cool,Lecture frog joke OR,g,21.0,True
cheese,Cheese-AA_OR,AAOR,24,OR,56.8,57.08492,voilà,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,25,OR,57.66,58.00995,à toi,,,0.0,True
cheese,Cheese-AA_OR,AAOR,26,AA,57.94,59.30492,euh donkey joke,Lecture donkey joke,g,0.0,True
cheese,Cheese-AA_OR,AAOR,27,AA,59.7,62.00995,une voiture a été impliquée dans un accident de la route,Lecture donkey joke,g,1.0,True
cheese,Cheese-AA_OR,AAOR,28,AA,62.38,64.18995,comme prévu une large foule s'est rassemblée,Lecture donkey joke,g,2.0,True
cheese,Cheese-AA_OR,AAOR,29,AA,64.6,66.43494,un journaliste anxieux d'avoir son histoire,Lecture donkey joke,g,3.0,True
cheese,Cheese-AA_OR,AAOR,30,AA,67.46,69.27989,ne pouvait pas s'approcher de la voiture,Lecture donkey joke,g,4.0,True
cheese,Cheese-AA_OR,AAOR,31,AA,69.96,71.92991,étant quelqu'un de malin il se mit à crier fort,Lecture donkey joke,g,5.0,True
cheese,Cheese-AA_OR,AAOR,32,AA,72.28,75.20492,laissez moi passer laissez moi passer je suis le fils de la victime,Lecture donkey joke,g,6.0,True
cheese,Cheese-AA_OR,AAOR,33,AA,75.66,76.89993,la foule s'écarta pour lui,Lecture donkey joke,g,7.0,True
cheese,Cheese-AA_OR,AAOR,34,AA,77.42,80.04982,étendu devant la voiture il y avait un âne,Lecture donkey joke,g,8.0,True
cheese,Cheese-AA_OR,AAOR,35,OR,81.3,81.81989,d'accord,Lecture donkey joke,f,9.0,True
cheese,Cheese-AA_OR,AAOR,36,OR,82.0,82.26991,super,Lecture donkey joke,f,10.0,True
cheese,Cheese-AA_OR,AAOR,37,AA,83.64,84.52995,voilà,Lecture donkey joke,g,11.0,True
cheese,Cheese-AA_OR,AAOR,38,OR,86.76,89.38175,mh attends j'avais plein de trucs à dire en même temps ça va être super,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,39,AA,86.94,87.26492,et euh,transition,,1.0,True
cheese,Cheese-AA_OR,AAOR,40,OR,89.88,91.75494,euh pour les partiels ils arrivent bientôt ou pas,,,0.0,True
cheese,Cheese-AA_OR,AAOR,41,AA,90.24,90.68492,vas y,transition,,2.0,True
cheese,Cheese-AA_OR,AAOR,42,OR,92.44,93.71494,genre ils sont tous après les vacances,les partiels,g,0.0,True
cheese,Cheese-AA_OR,AAOR,43,AA,92.54,92.75494,mh,les partiels,f,1.0,True
cheese,Cheese-AA_OR,AAOR,44,AA,94.6,95.28995,euh ouais,les partiels,f,2.0,True
cheese,Cheese-AA_OR,AAOR,45,AA,95.98,98.19993,euh oui oui du coup ils ont tous euh,les partiels,f,3.0,True
cheese,Cheese-AA_OR,AAOR,46,OR,98.16,100.53494,parce que j'ai tu as lu le euh le message de marie,les partiels,g,4.0,True
cheese,Cheese-AA_OR,AAOR,47,AA,100.8,102.89494,oui oui thomas il nous a dit que euh,les partiels,f,5.0,True
cheese,Cheese-AA_OR,AAOR,48,OR,101.14,101.51494,sur euh,les partiels,g,6.0,True
cheese,Cheese-AA_OR,AAOR,49,OR,101.68,102.33993,celui de tournadre,les partiels,g,7.0,True
cheese,Cheese-AA_OR,AAOR,50,AA,104.28,107.45993,oui ils avaient il avait eu un mail comme quoi le partiel serait le sept,les partiels,f,8.0,True
cheese,Cheese-AA_OR,AAOR,51,OR,108.4,110.43993,le 7 c'est la première semaine euh dès qu'on reprend,les partiels,g,9.0,True
cheese,Cheese-AA_OR,AAOR,52,AA,108.76,109.65993,sept janvier je crois,les partiels,f,10.0,True
cheese,Cheese-AA_OR,AAOR,53,OR,111.12,112.14438,c'est le 4 je crois on reprend,les partiels,g,11.0,True
cheese,Cheese-AA_OR,AAOR,54,AA,111.44,112.59494,ouais c'est un,les partiels,f,12.0,True
cheese,Cheese-AA_OR,AAOR,55,AA,112.96,113.61993,je crois que c'est le jeudi,les partiels,f,13.0,True
cheese,Cheese-AA_OR,AAOR,56,AA,115.06,116.86492,premier jeudi euh de la rentrée,,,0.0,True
cheese,Cheese-AA_OR,AAOR,57,OR,116.14,117.15993,ouais donc j'aurais pu partir,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,58,OR,117.96,120.14995,tu sais je voulais partir et je m'étais dit si j'ai pas de partiel,transition,,1.0,True
cheese,Cheese-AA_OR,AAOR,59,OR,120.64,121.79494,là pour le moment j'aurais pu partir,transition,,2.0,True
cheese,Cheese-AA_OR,AAOR,60,AA,120.94,121.72492,ouais,transition,,3.0,True
cheese,Cheese-AA_OR,AAOR,61,OR,122.72,123.23494,et c'est loupé,transition,,4.0,True
cheese,Cheese-AA_OR,AAOR,62,AA,122.82,123.56995,après on peut ouais,,,0.0,True
cheese,Cheese-AA_OR,AAOR,63,AA,124.64,126.85494,après pour l'instant il a dit que ça allait peut-être changer mais,voyage OR,g,0.0,True
cheese,Cheese-AA_OR,AAOR,64,OR,124.74,125.55075,moi j'ai bien fait de pas,voyage OR,f,1.0,True
cheese,Cheese-AA_OR,AAOR,65,OR,127.18,127.39993,ouais,voyage OR,f,2.0,True
cheese,Cheese-AA_OR,AAOR,66,AA,127.54,128.14991,c'est pas encore euh,voyage OR,g,3.0,True
cheese,Cheese-AA_OR,AAOR,67,OR,128.2,131.05494,non mais j'ai bien fait parce que si jamais il y en a un qui se met le 1 ou le 2,voyage OR,f,4.0,True
cheese,Cheese-AA_OR,AAOR,68,AA,131.5,132.20492,mh,voyage OR,g,5.0,True
cheese,Cheese-AA_OR,AAOR,69,OR,131.84,132.39494,je l'aurais loupé,voyage OR,f,6.0,True
cheese,Cheese-AA_OR,AAOR,70,OR,132.96,133.23494,mais bon,voyage OR,f,7.0,True
cheese,Cheese-AA_OR,AAOR,71,AA,133.02,134.74492,ouais sûr ouais du coup tu as pu t'arranger pour euh,voyage OR,g,8.0,True
cheese,Cheese-AA_OR,AAOR,72,OR,134.94,135.62492,ben du coup je pars pas,voyage OR,f,9.0,True
cheese,Cheese-AA_OR,AAOR,73,AA,136.0,136.65993,d'accord,voyage OR,g,10.0,True
cheese,Cheese-AA_OR,AAOR,74,OR,136.42,138.31481,non parce que je me suis dit c'est trop prendre un gros risque,voyage OR,f,11.0,True
cheese,Cheese-AA_OR,AAOR,75,OR,138.74,139.4998,si jamais je pars,voyage OR,f,12.0,True
cheese,Cheese-AA_OR,AAOR,76,OR,140.12,145.46492,et qu'au final j'apprends euh alors que je suis là-bas j'apprends ah ben non en fait euh t'as un partiel le 2 ou le 3 enfin pas le 2 ou le 3 ça reprend le 4 je crois,voyage OR,f,13.0,True
cheese,Cheese-AA_OR,AAOR,77,OR,145.88,146.65494,le 4 ou le 5,voyage OR,f,14.0,True
cheese,Cheese-AA_OR,AAOR,78,AA,146.04,146.34982,mh,voyage OR,g,15.0,True
cheese,Cheese-AA_OR,AAOR,79,OR,147.24,147.99993,tu as un partiel le 5,voyage OR,f,16.0,True
cheese,Cheese-AA_OR,AAOR,80,OR,148.22,149.22995,et moi je revenais euh,voyage OR,f,17.0,True
cheese,Cheese-AA_OR,AAOR,81,OR,149.64,150.90995,mon avion il arrivait le mardi soir,voyage OR,f,18.0,True
cheese,Cheese-AA_OR,AAOR,82,OR,151.78,154.38492,à paris  donc le temps que je rentre à aix c'était mercredi dans la journée,voyage OR,f,19.0,True
cheese,Cheese-AA_OR,AAOR,83,AA,154.76,155.03993,ouais,voyage OR,g,20.0,True
cheese,Cheese-AA_OR,AAOR,84,OR,154.96,158.17993,donc que ça fait quand même louper lundi mardi mercredi potentiellement où il y a les,voyage OR,f,21.0,True
cheese,Cheese-AA_OR,AAOR,85,AA,155.03993,155.22,ça,voyage OR,g,22.0,True
cheese,Cheese-AA_OR,AAOR,86,AA,155.22,155.45494,ok,voyage OR,g,23.0,True
cheese,Cheese-AA_OR,AAOR,87,AA,157.84,158.85993,on sait jamais,voyage OR,g,24.0,True
cheese,Cheese-AA_OR,AAOR,88,OR,158.52,159.02995,ouais c'est ça,voyage OR,f,25.0,True
cheese,Cheese-AA_OR,AAOR,89,OR,159.6,162.28995,et là potentiellement c'est à dire qu'après ça me fait rester jusqu'à juillet,voyage OR,f,26.0,True
cheese,Cheese-AA_OR,AAOR,90,AA,159.98,160.29993,c'est sûr,voyage OR,g,27.0,True
cheese,Cheese-AA_OR,AAOR,91,OR,163.28,163.96995,pour des rattrapages,voyage OR,f,28.0,True
cheese,Cheese-AA_OR,AAOR,92,OR,164.88,165.68995,c'est un peu,voyage OR,f,29.0,True
cheese,Cheese-AA_OR,AAOR,93,AA,166.12,166.93494,ouais ça fait ouais,voyage OR,g,30.0,True
cheese,Cheese-AA_OR,AAOR,94,OR,167.28,167.91768,du coup j'ai pas fait,voyage OR,f,31.0,True
cheese,Cheese-AA_OR,AAOR,95,OR,169.76,171.2749,et tu as réussi le partiel de euh,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,96,AA,170.0,170.40492,on verra,transition,,1.0,True
cheese,Cheese-AA_OR,AAOR,97,OR,172.1,172.70991,de,transition,,2.0,True
cheese,Cheese-AA_OR,AAOR,98,OR,173.1,173.81993,de,transition,,3.0,True
cheese,Cheese-AA_OR,AAOR,99,OR,174.1,174.40492,guardiola,transition,,4.0,True
cheese,Cheese-AA_OR,AAOR,100,AA,175.5,177.98995,alors euh dans le la deuxième partie ça va,transition,,5.0,True
cheese,Cheese-AA_OR,AAOR,101,AA,178.66,179.55494,je pense enfin,transition,,6.0,True
cheese,Cheese-AA_OR,AAOR,102,AA,179.62612,180.64492,c'est toutes les petites questions là,transition,,7.0,True
cheese,Cheese-AA_OR,AAOR,103,OR,181.0,181.23993,mh,transition,,8.0,True
cheese,Cheese-AA_OR,AAOR,104,AA,181.58,183.62995,alors c'est ce que j'avais fait en premier parce que je savais mais,le partiel de GUARDIOLA,g,0.0,True
cheese,Cheese-AA_OR,AAOR,105,AA,183.84,184.92986,la première question,le partiel de GUARDIOLA,g,1.0,True
cheese,Cheese-AA_OR,AAOR,106,OR,185.62,186.59993,la première question,le partiel de GUARDIOLA,f,2.0,True
cheese,Cheese-AA_OR,AAOR,107,AA,185.88,188.75494,genre au début enfin moi je l'ai lu j'ai eu un gros bug j'ai fait,le partiel de GUARDIOLA,g,3.0,True
cheese,Cheese-AA_OR,AAOR,108,AA,189.72,190.64995,ah ok je sais pas,le partiel de GUARDIOLA,g,4.0,True
cheese,Cheese-AA_OR,AAOR,109,OR,190.22,193.88492,moi j'ai d'abord fait les exercices après je suis revenue aux questions en fait je crois qu'elle était pas si dure que ça hein,le partiel de GUARDIOLA,f,5.0,True
cheese,Cheese-AA_OR,AAOR,110,AA,194.88,195.38995,mais euh,le partiel de GUARDIOLA,g,6.0,True
cheese,Cheese-AA_OR,AAOR,111,OR,194.98,196.67993,je crois que c'était et en fait,le partiel de GUARDIOLA,f,7.0,True
cheese,Cheese-AA_OR,AAOR,112,OR,196.94,199.37494,c'est cristèle après elle a révisé chez moi tu sais elle a dormi chez moi mardi soir,le partiel de GUARDIOLA,f,8.0,True
cheese,Cheese-AA_OR,AAOR,113,AA,198.7,198.96483,mh,le partiel de GUARDIOLA,g,9.0,True
cheese,Cheese-AA_OR,AAOR,114,OR,199.86,201.52492,enfin lundi soir pour faire son partiel mardi,le partiel de GUARDIOLA,f,10.0,True
cheese,Cheese-AA_OR,AAOR,115,OR,202.14,202.88492,et du coup euh,le partiel de GUARDIOLA,f,11.0,True
cheese,Cheese-AA_OR,AAOR,116,OR,203.16,206.34991,quand elle a relu elle m'a dit mais tu sais que la question que tu me dis là c'est exactement,le partiel de GUARDIOLA,f,12.0,True
cheese,Cheese-AA_OR,AAOR,117,OR,206.76,207.32492,les résumés,le partiel de GUARDIOLA,f,13.0,True
cheese,Cheese-AA_OR,AAOR,118,AA,207.8,208.40492,ouais c'est ça,le partiel de GUARDIOLA,g,14.0,True
cheese,Cheese-AA_OR,AAOR,119,OR,208.22,212.68492,tu sais les résumés qu'on avait fait tout seul sur le domaine genre en gros que ça portait plein de domaines,le partiel de GUARDIOLA,f,15.0,True
cheese,Cheese-AA_OR,AAOR,120,OR,213.02,215.56995,ça venait de la psycho de l'anthropo enfin de plein de euh domaines,le partiel de GUARDIOLA,f,16.0,True
cheese,Cheese-AA_OR,AAOR,121,AA,214.7,215.22478,ouais ouais,le partiel de GUARDIOLA,g,17.0,True
cheese,Cheese-AA_OR,AAOR,122,OR,216.28,217.71993,je pense c'était juste simplement euh ça,le partiel de GUARDIOLA,f,18.0,True
cheese,Cheese-AA_OR,AAOR,123,AA,218.18,221.61494,ben ouais mais moi le truc c'est que genre la veille ben du coup je l'avais revu et tout,le partiel de GUARDIOLA,g,19.0,True
cheese,Cheese-AA_OR,AAOR,124,OR,218.44,218.97989,et,le partiel de GUARDIOLA,f,20.0,True
cheese,Cheese-AA_OR,AAOR,125,AA,222.04,224.60995,genre les j'ai vu mes deux résumés je les ai regardés j'ai fait euh,le partiel de GUARDIOLA,g,21.0,True
cheese,Cheese-AA_OR,AAOR,126,AA,225.34,228.86995,pouah c'est bon ça tombera non non j'ai fait non c'est bon ça tombera pas sur ça,le partiel de GUARDIOLA,g,22.0,True
cheese,Cheese-AA_OR,AAOR,127,OR,226.04,226.61993,la flemme,le partiel de GUARDIOLA,f,23.0,True
cheese,Cheese-AA_OR,AAOR,128,OR,229.08,229.32492,ouais,le partiel de GUARDIOLA,f,24.0,True
cheese,Cheese-AA_OR,AAOR,129,AA,229.34,231.36497,genre du coup je les ai lu vite fait en diagonale,le partiel de GUARDIOLA,g,25.0,True
cheese,Cheese-AA_OR,AAOR,130,AA,231.66,232.41494,et,le partiel de GUARDIOLA,g,26.0,True
cheese,Cheese-AA_OR,AAOR,131,AA,232.88,234.56995,après j'ai eu la première question du partiel j'ai fait,le partiel de GUARDIOLA,g,27.0,True
cheese,Cheese-AA_OR,AAOR,132,AA,234.88,235.73993,ah,le partiel de GUARDIOLA,g,28.0,True
cheese,Cheese-AA_OR,AAOR,133,OR,235.44,235.88995,ouais voilà,le partiel de GUARDIOLA,f,29.0,True
cheese,Cheese-AA_OR,AAOR,134,AA,236.06,236.44497,ah bon,le partiel de GUARDIOLA,g,30.0,True
cheese,Cheese-AA_OR,AAOR,135,OR,236.44,240.68991,et moi je m'étais même pas rendue compte que c'était là-dedans c'est après cristèle elle m'a dit mais tu vois que c'est tu as exactement ton résumé genre,le partiel de GUARDIOLA,f,31.0,True
cheese,Cheese-AA_OR,AAOR,136,AA,237.22,237.61993,j'aurais dû,le partiel de GUARDIOLA,g,32.0,True
cheese,Cheese-AA_OR,AAOR,137,OR,241.02,243.09494,alors qu'en plus le résumé quand elle a corrigé il m'a dit très bon résumé,le partiel de GUARDIOLA,f,33.0,True
cheese,Cheese-AA_OR,AAOR,138,AA,243.14,244.17494,ouais moi aussi,le partiel de GUARDIOLA,g,34.0,True
cheese,Cheese-AA_OR,AAOR,139,AA,244.6,246.23989,du coup j'étais un petit peu deg quoi,le partiel de GUARDIOLA,g,35.0,True
cheese,Cheese-AA_OR,AAOR,140,OR,244.98,245.50982,super,le partiel de GUARDIOLA,f,36.0,True
cheese,Cheese-AA_OR,AAOR,141,OR,245.8,246.18995,oh grave,le partiel de GUARDIOLA,f,37.0,True
cheese,Cheese-AA_OR,AAOR,142,AA,246.58,247.72492,j'ai fait putain j'aurais dû le relire,le partiel de GUARDIOLA,g,38.0,True
cheese,Cheese-AA_OR,AAOR,143,OR,246.98,247.3949,donc voilà,le partiel de GUARDIOLA,f,39.0,True
cheese,Cheese-AA_OR,AAOR,144,AA,248.08,249.36492,ça aurait pris 5 minutes mais non,le partiel de GUARDIOLA,g,40.0,True
cheese,Cheese-AA_OR,AAOR,145,OR,248.16,248.33993,ouais,le partiel de GUARDIOLA,f,41.0,True
cheese,Cheese-AA_OR,AAOR,146,OR,249.18,249.68995,ouais c'est ça,le partiel de GUARDIOLA,f,42.0,True
cheese,Cheese-AA_OR,AAOR,147,AA,250.04,252.77993,je me suis dit non ça tombera pas dessus si ça tombe ce sera une petite question tu sais,le partiel de GUARDIOLA,g,43.0,True
cheese,Cheese-AA_OR,AAOR,148,OR,252.62,252.81993,ouais,le partiel de GUARDIOLA,f,44.0,True
cheese,Cheese-AA_OR,AAOR,149,AA,253.08,254.36492,en fait non grosse question 10 points,le partiel de GUARDIOLA,g,45.0,True
cheese,Cheese-AA_OR,AAOR,150,OR,254.54,256.29993,ouais c'est ça et 10 points en plus tu sais,le partiel de GUARDIOLA,f,46.0,True
cheese,Cheese-AA_OR,AAOR,151,AA,254.74096,255.0,ah,le partiel de GUARDIOLA,g,47.0,True
cheese,Cheese-AA_OR,AAOR,152,OR,256.7,257.72492,là c'est loupé genre euh,le partiel de GUARDIOLA,f,48.0,True
cheese,Cheese-AA_OR,AAOR,153,AA,256.72,256.91494,ouais,le partiel de GUARDIOLA,g,49.0,True
cheese,Cheese-AA_OR,AAOR,154,OR,259.0,260.41494,si même juste euh on a,le partiel de GUARDIOLA,f,50.0,True
cheese,Cheese-AA_OR,AAOR,155,OR,260.58,262.68995,7 sur 10 aux exercices ce qui est déjà pas mal,le partiel de GUARDIOLA,f,51.0,True
cheese,Cheese-AA_OR,AAOR,156,AA,263.5,263.71993,c'est ça,le partiel de GUARDIOLA,g,52.0,True
cheese,Cheese-AA_OR,AAOR,157,OR,263.8,264.76492,ben ça fait que 7 sur 20,le partiel de GUARDIOLA,f,53.0,True
cheese,Cheese-AA_OR,AAOR,158,AA,265.38,265.63494,ouais,le partiel de GUARDIOLA,g,54.0,True
cheese,Cheese-AA_OR,AAOR,159,OR,266.16,266.72451,on verra bien,le partiel de GUARDIOLA,f,55.0,True
cheese,Cheese-AA_OR,AAOR,160,AA,267.02,267.59993,mh mh,le partiel de GUARDIOLA,g,56.0,True
cheese,Cheese-AA_OR,AAOR,161,AA,267.88,268.73993,ouais après au pire,le partiel de GUARDIOLA,g,57.0,True
cheese,Cheese-AA_OR,AAOR,162,OR,269.52,271.57494,et du coup la semaine prochaine on a on a tournadre  encore,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,163,AA,272.48,273.08995,mh ouais,transition,,1.0,True
cheese,Cheese-AA_OR,AAOR,164,OR,274.26,277.49494,ah attends la semaine prochaine il reste 2 semaines de cours avant la semaine de le révision hein,,,0.0,True
cheese,Cheese-AA_OR,AAOR,165,AA,277.82,278.32492,ouais c'est ça,programme des semaines à venir,g,0.0,True
cheese,Cheese-AA_OR,AAOR,166,OR,278.36,279.14995,et après semaine de vacances,programme des semaines à venir,f,1.0,True
cheese,Cheese-AA_OR,AAOR,167,OR,279.42,281.14492,la semaine prochaine on a tournadre pas la semaine d'avant,programme des semaines à venir,f,2.0,True
cheese,Cheese-AA_OR,AAOR,168,OR,282.4,283.37494,pas la semaine d'après je veux dire,programme des semaines à venir,f,3.0,True
cheese,Cheese-AA_OR,AAOR,169,AA,284.8,285.54492,on est le combien,programme des semaines à venir,g,4.0,True
cheese,Cheese-AA_OR,AAOR,170,OR,285.08,285.40991,c'est ça,programme des semaines à venir,f,5.0,True
cheese,Cheese-AA_OR,AAOR,171,AA,285.98,286.83993,oui ouais c'est ça,programme des semaines à venir,g,6.0,True
cheese,Cheese-AA_OR,AAOR,172,OR,286.56,286.96492,le 20,programme des semaines à venir,f,7.0,True
cheese,Cheese-AA_OR,AAOR,173,OR,287.18,289.24492,en gros la première semaine de décembre on a encore tournadre,programme des semaines à venir,f,8.0,True
cheese,Cheese-AA_OR,AAOR,174,AA,287.32,287.58995,la semaine,programme des semaines à venir,g,9.0,True
cheese,Cheese-AA_OR,AAOR,175,AA,289.4,289.60488,ouais,programme des semaines à venir,g,10.0,True
cheese,Cheese-AA_OR,AAOR,176,AA,290.02,291.31993,et la semaine d'après euh,programme des semaines à venir,g,11.0,True
cheese,Cheese-AA_OR,AAOR,177,OR,290.06,291.85984,on a encore le pratiques langagières,programme des semaines à venir,f,12.0,True
cheese,Cheese-AA_OR,AAOR,178,AA,292.68,292.88488,ouais,programme des semaines à venir,g,13.0,True
cheese,Cheese-AA_OR,AAOR,179,OR,294.74,295.69494,et la semaine d'après,programme des semaines à venir,f,14.0,True
cheese,Cheese-AA_OR,AAOR,180,OR,296.12,296.37993,on a,programme des semaines à venir,f,15.0,True
cheese,Cheese-AA_OR,AAOR,181,OR,296.61993,297.97494,plus syntaxe et sémantique,programme des semaines à venir,f,16.0,True
cheese,Cheese-AA_OR,AAOR,182,AA,297.16,299.14492,le mardi on n'a plus tournadre mais on a vittrant,programme des semaines à venir,g,17.0,True
cheese,Cheese-AA_OR,AAOR,183,OR,299.84,300.32889,ouais c'est ça,programme des semaines à venir,f,18.0,True
cheese,Cheese-AA_OR,AAOR,184,AA,300.68,302.39494,qu'elle nous a mis le cours à la place de,programme des semaines à venir,g,19.0,True
cheese,Cheese-AA_OR,AAOR,185,AA,302.72,303.88492,genre 14 15h15,programme des semaines à venir,g,20.0,True
cheese,Cheese-AA_OR,AAOR,186,OR,304.30649,304.56113,mh,programme des semaines à venir,f,21.0,True
cheese,Cheese-AA_OR,AAOR,187,AA,304.66,305.49993,du coup on commence 8 heures,programme des semaines à venir,g,22.0,True
cheese,Cheese-AA_OR,AAOR,188,OR,306.04,307.32995,et on a encore euh pratiques langagières,programme des semaines à venir,f,23.0,True
cheese,Cheese-AA_OR,AAOR,189,OR,307.86,308.30488,ouais deux fois,programme des semaines à venir,f,24.0,True
cheese,Cheese-AA_OR,AAOR,190,AA,308.56,309.25993,normalement ouais,programme des semaines à venir,g,25.0,True
cheese,Cheese-AA_OR,AAOR,191,OR,310.2,311.74492,je suis au bout mon neveu il est en france euh,programme des semaines à venir,f,26.0,True
cheese,Cheese-AA_OR,AAOR,192,OR,312.18,312.85993,le 8 décembre,programme des semaines à venir,f,27.0,True
cheese,Cheese-AA_OR,AAOR,193,OR,313.18,314.44991,c'est pour ça que je voualais partir en thailande,programme des semaines à venir,f,28.0,True
cheese,Cheese-AA_OR,AAOR,194,AA,313.64,314.59993,aie oui,programme des semaines à venir,g,29.0,True
cheese,Cheese-AA_OR,AAOR,195,OR,314.84,317.00995,il est en france le 8 décembre du coup je m'étais dit trop bien euh,programme des semaines à venir,f,30.0,True
cheese,Cheese-AA_OR,AAOR,196,OR,317.48,320.37494,je vais essayer de vu qu'on a moins cours je vais essayer vite d'aller en enfin à lyon,programme des semaines à venir,f,31.0,True
cheese,Cheese-AA_OR,AAOR,197,OR,320.54,320.99993,il est sur lyon,programme des semaines à venir,f,32.0,True
cheese,Cheese-AA_OR,AAOR,198,AA,321.3,321.57485,mh,programme des semaines à venir,g,33.0,True
cheese,Cheese-AA_OR,AAOR,199,OR,321.62,324.36991,mais au final on a encore cours le mardi et le jeudi c'est en plein milieu de la semaine donc euh,programme des semaines à venir,f,34.0,True
cheese,Cheese-AA_OR,AAOR,200,AA,324.22,324.95993,ouais,programme des semaines à venir,g,35.0,True
cheese,Cheese-AA_OR,AAOR,201,AA,326.54,326.83993,ouais du coup,programme des semaines à venir,g,36.0,True
cheese,Cheese-AA_OR,AAOR,202,OR,328.82,329.51494,tu vas faire quoi pendant les vacances,programme des semaines à venir,f,37.0,True
cheese,Cheese-AA_OR,AAOR,203,AA,330.46,332.40478,bonne question,programme des semaines à venir,g,38.0,True
cheese,Cheese-AA_OR,AAOR,204,OR,332.24,332.65494,tu sais pas encore,programme des semaines à venir,f,39.0,True
cheese,Cheese-AA_OR,AAOR,205,AA,332.84,333.53494,je sais pas non,programme des semaines à venir,g,40.0,True
cheese,Cheese-AA_OR,AAOR,206,AA,333.94,334.30492,du tout,,,0.0,True
cheese,Cheese-AA_OR,AAOR,207,OR,333.98,335.24078,tu habites ici toi sur aix,transition,,0.0,True
cheese,Cheese-AA_OR,AAOR,208,AA,335.36,336.17494,non je suis sur aubagne,transition,,1.0,True
cheese,Cheese-AA_OR,AAOR,209,AA,336.62,337.09494,c'est à,transition,,2.0,True
cheese,Cheese-AA_OR,AAOR,210,OR,336.79494,337.05494,d'accord,transition,,3.0,True
cheese,Cheese-AA_OR,AAOR,211,AA,338.16,339.34995,ouais je suis à quarante minutes en bus quoi,lieu d'habitation,g,0.0,True
cheese,Cheese-AA_OR,AAOR,212,OR,339.32,339.55494,ouais,lieu d'habitation,f,1.0,True
